URI,Citation URI,Item Label,Project Label,Project URI,Context (1),Context (2),Context (3),Context (4),Context URI,Latitude (WGS-84),Longitude (WGS-84),Early BCE/CE,Late BCE/CE,Item Category,Published Date,Updated Date,Has type,Temporal Coverage,Spot Date End,Spot Date Start,Spot Date End Suffix,Spot Date Start Suffix,Spot Date Ceramic Class
"http://opencontext.org/subjects/36b875cf-ce2b-4c55-992d-1fad4d710174","false","SD 1049","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1158","http://opencontext.org/subjects/0281b2b1-930d-41c6-936f-9add56429998","41.88774565602795","12.719642888386941","-40","180","Pottery","2017-06-04T23:42:28Z","2018-01-31T08:31:54Z","terra sigillata ware","Roman Republican; Roman Imperial","180","40","AD","BC","Terra Sigillata"
"http://opencontext.org/subjects/552475d8-5bf0-43cb-9470-65e63f1ac855","false","SD 1222","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1158","http://opencontext.org/subjects/0281b2b1-930d-41c6-936f-9add56429998","41.88774565602795","12.719642888386941","-40","180","Pottery","2017-06-04T23:42:27Z","2018-01-31T08:31:55Z","terra sigillata ware","Roman Republican; Roman Imperial","180","40","AD","BC","Terra Sigillata"
"http://opencontext.org/subjects/0163150c-7b66-4854-8e18-8ed5eff77556","false","SD 966","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1016","http://opencontext.org/subjects/2562ba6f-4ff8-4bc6-82f5-b7c5df8cd165","41.887809041304415","12.719615546066272","100","200","Pottery","2017-06-04T23:43:02Z","2018-01-31T08:25:25Z","African terra sigillata","Roman Republican; Roman Imperial","200","100","AD","AD","African Red Slip"
"http://opencontext.org/subjects/6de5843b-d88e-4504-83c2-c0ae59fd9e7a","false","SD 967","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1016","http://opencontext.org/subjects/2562ba6f-4ff8-4bc6-82f5-b7c5df8cd165","41.887809041304415","12.719615546066272","200","400","Pottery","2017-06-04T23:43:01Z","2018-01-31T08:25:25Z","amphorae (storage vessels)","Roman Republican; Roman Imperial","400","200","AD","AD","Amphora"
"http://opencontext.org/subjects/05ba6e1a-2c3e-46ea-8ed5-72d019a17398","false","SD 1061","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1205","http://opencontext.org/subjects/b79a348b-5fae-4092-94da-9c5a77b16d26","41.8877471449848","12.719645157160427","1","40","Pottery","2017-06-04T23:42:51Z","2018-01-31T08:18:50Z","amphorae (storage vessels)","Roman Republican; Roman Imperial","40","0","AD","AD","Amphora"
"http://opencontext.org/subjects/6115347e-ac84-434f-8205-1bc60e00c3ad","false","SD 303","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1457","http://opencontext.org/subjects/c432d3ea-8ac1-4a33-a0bd-29629119d9f9","41.88767719936384","12.719661339741686","-350","-250","Pottery","2017-06-04T23:42:41Z","2018-01-31T08:17:15Z","","Roman Republican; Roman Imperial","250","350","BC","BC","Commonware"
"http://opencontext.org/subjects/cc3d797c-395c-4596-9b16-db13f617ae6e","false","SD 1227","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1165","http://opencontext.org/subjects/8fbe2231-bd46-4a56-9e78-2bc6f8b34fdd","41.88770651046013","12.719583268505867","-300","-200","Pottery","2017-06-04T23:42:40Z","2018-01-31T08:21:25Z","","Roman Republican; Roman Imperial","200","300","BC","BC","Black Gloss"
"http://opencontext.org/subjects/2383a3a5-ff5a-4cd8-98f7-2e4513cd2512","false","SD 1841","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1277","http://opencontext.org/subjects/cfb854f5-80bb-4497-9804-8a9801f5d5fe","41.887751570798564","12.719615326043872","-300","1","Pottery","2017-06-04T23:43:05Z","2018-01-31T08:25:42Z","","Roman Republican; Roman Imperial","1","300","AD","BC","Commonware"
"http://opencontext.org/subjects/8ed5f355-40f8-4450-8bfc-084c66169a47","false","SD 81","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1384","http://opencontext.org/subjects/4919839f-17b6-4e2b-aad6-91a32044020f","41.887663003612595","12.719609315107887","-100","-25","Pottery","2017-06-04T23:43:24Z","2018-01-31T08:17:49Z","","Roman Republican; Roman Imperial","25","100","BC","BC","Commonware"
"http://opencontext.org/subjects/629701f0-c441-4e7c-ba90-5891f5f2c3e3","false","SD 3631","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1221","http://opencontext.org/subjects/3d8e6aaf-a2d3-4558-aea9-f510bd9d3400","41.88768198941815","12.719577458060657","-50","180","Pottery","2017-06-04T23:43:03Z","2018-01-31T08:28:19Z","terra sigillata ware","Roman Republican; Roman Imperial","180","50","AD","BC","Terra Sigillata"
